player,name,team,position,natural_position,club,league,age,pace,shooting,passing,dribbling,defending,physical,overall,vision,gk,caps,form,available
Sergiño Gianni Dest,Sergiño Gianni Dest,United States,RB,RB,PSV,Eredivisie,24,87.0,60.0,75.0,83.0,72.0,72.0,79,76.6,12.75,8,79.0,1
Tyler Shaan Adams,Tyler Shaan Adams,United States,CDM,CDM,AFC Bournemouth,Premier League,26,79.0,56.0,71.0,75.0,79.0,75.0,79,74.2,8.5,52,79.0,1
Weston James Earl McKennie,Weston James Earl McKennie,United States,CM,CM,Juventus,Serie A,26,77.0,71.0,77.0,77.0,80.0,80.0,78,77.4,9.0,30,78.0,1
Timothy Tarpeh Weah,Timothy Tarpeh Weah,United States,RM,RM,Olympique de Marseille,Ligue 1,25,87.0,75.0,72.0,78.0,68.0,65.0,77,74.0,11.25,8,77.0,1
Christopher Jeffrey Richards,Christopher Jeffrey Richards,United States,CB,CB,Crystal Palace,Premier League,25,66.0,27.0,58.0,62.0,78.0,77.0,77,65.6,7.75,8,77.0,1
Folarin Jolaoluwa Jerry Balogun,Folarin Jolaoluwa Jerry Balogun,United States,ST,ST,AS Monaco,Ligue 1,23,84.0,77.0,62.0,77.0,23.0,68.0,77,68.0,11.25,8,77.0,1
Alejandro Zendejas Saavedra,Alejandro Zendejas Saavedra,United States,RM,RM,,nan,27,85.0,68.0,70.0,80.0,52.0,67.0,76,72.4,9.0,8,76.0,1
Ricardo Daniel Pepi,Ricardo Daniel Pepi,United States,ST,ST,PSV,Eredivisie,22,73.0,78.0,60.0,72.0,46.0,73.0,76,66.4,11.25,8,76.0,1
Joshua Thomas Sargent,Joshua Thomas Sargent,United States,ST,ST,Norwich City,Championship,25,74.0,76.0,62.0,69.0,48.0,82.0,75,67.19999999999999,8.0,8,75.0,1
Brian White,Brian White,United States,ST,ST,Vancouver Whitecaps FC,Major League Soccer,29,77.0,74.0,52.0,68.0,46.0,78.0,75,61.2,8.75,8,75.0,1
Walker Dwain Zimmerman,Walker Dwain Zimmerman,United States,CB,CB,Nashville SC,Major League Soccer,32,56.0,50.0,55.0,56.0,73.0,84.0,75,63.0,11.5,30,75.0,1
Giovanni Alejandro Reyna,Giovanni Alejandro Reyna,United States,RM,RM,Borussia Mönchengladbach,Bundesliga,22,67.0,72.0,72.0,80.0,38.0,68.0,75,73.19999999999999,10.5,30,75.0,1
Paxten Reid Aaronson,Paxten Reid Aaronson,United States,CM,CM,Colorado Rapids,Major League Soccer,21,83.0,71.0,70.0,76.0,69.0,61.0,75,72.0,10.5,8,75.0,1
Matthew Charles Turner,Matthew Charles Turner,United States,GK,GK,New England Revolution,Major League Soccer,31,45.0,45.0,45.0,45.0,45.0,45.0,74,74.0,73.25,8,74.0,1
Mark Alexander McKenzie,Mark Alexander McKenzie,United States,CB,CB,Toulouse FC,Ligue 1,26,80.0,36.0,50.0,64.0,73.0,78.0,74,59.6,10.25,8,74.0,1
Joseph Michael Scally,Joseph Michael Scally,United States,RB,RB,Borussia Mönchengladbach,Bundesliga,22,83.0,49.0,60.0,69.0,71.0,76.0,74,65.6,9.75,8,74.0,1
Auston Levi-Jesaiah Trusty,Auston Levi-Jesaiah Trusty,United States,CB,CB,Celtic,Premiership,26,78.0,47.0,56.0,60.0,72.0,83.0,74,63.2,12.25,8,74.0,1
Bryan Keith Reynolds Jr,Bryan Keith Reynolds Jr,United States,RB,RB,KVC Westerlo,Pro League,24,69.0,47.0,66.0,71.0,67.0,75.0,73,68.80000000000001,11.75,8,73.0,1
Zackary Thomas Steffen,Zackary Thomas Steffen,United States,GK,GK,Colorado Rapids,Major League Soccer,30,45.0,45.0,45.0,45.0,45.0,45.0,73,73.0,72.75,8,73.0,1
Haji Amir Wright,Haji Amir Wright,United States,ST,ST,Coventry City,Championship,27,82.0,72.0,60.0,71.0,33.0,76.0,73,65.2,9.25,8,73.0,1
Stefan Frei,Stefan Frei,United States,GK,GK,Seattle Sounders FC,Major League Soccer,39,45.0,45.0,45.0,45.0,45.0,45.0,72,72.0,71.75,8,72.0,1
Alejandro Sebastián Romero Gamarra,Alejandro Sebastián Romero Gamarra,Paraguay,CAM,CAM,Al Ain,Pro League,30,81.0,73.0,81.0,80.0,52.0,64.0,79,80.2,11.0,30,79.0,1
Omar Federico Alderete Fernández,Omar Federico Alderete Fernández,Paraguay,CB,CB,Sunderland,Premier League,28,60.0,61.0,62.0,69.0,79.0,78.0,78,68.4,12.0,8,78.0,1
Arnaldo Antonio Sanabria Ayala,Arnaldo Antonio Sanabria Ayala,Paraguay,ST,ST,Cremonese,Serie A,29,75.0,75.0,68.0,79.0,32.0,57.0,76,71.2,12.25,8,76.0,1
Miguel Ángel Almirón Rejala,Miguel Ángel Almirón Rejala,Paraguay,RW,RW,Atlanta United,Major League Soccer,31,87.0,72.0,70.0,79.0,57.0,64.0,76,72.4,10.0,30,76.0,1
Diego Francisco Viera Ruiz Díaz,Diego Francisco Viera Ruiz Díaz,Paraguay,CB,CB,Libertad,División Profesional,34,35.0,27.0,44.0,50.0,77.0,84.0,76,56.8,10.25,8,76.0,1
Richard Rafael Sánchez Guerrero,Richard Rafael Sánchez Guerrero,Paraguay,CM,CM,Racing Club,Liga Profesional de Fútbol,29,77.0,68.0,74.0,75.0,72.0,77.0,75,74.4,9.75,8,75.0,1
Álex Adrián Arce Barrios,Álex Adrián Arce Barrios,Paraguay,ST,ST,Independiente Rivadavia,Liga Profesional de Fútbol,30,59.0,79.0,50.0,70.0,23.0,64.0,75,60.0,10.75,8,75.0,1
Gabriel Ávalos Stumpfs,Gabriel Ávalos Stumpfs,Paraguay,ST,ST,Independiente,Liga Profesional de Fútbol,34,67.0,75.0,63.0,73.0,45.0,84.0,75,67.8,12.5,8,75.0,1
Lorenzo Antonio Melgarejo Sanabria,Lorenzo Antonio Melgarejo Sanabria,Paraguay,LW,LW,Libertad,División Profesional,34,81.0,75.0,69.0,75.0,56.0,67.0,74,71.0,10.0,8,74.0,1
Adrián Andrés Cubas,Adrián Andrés Cubas,Paraguay,CDM,CDM,Vancouver Whitecaps FC,Major League Soccer,29,69.0,47.0,66.0,71.0,73.0,56.0,74,69.2,10.25,8,74.0,1
Matías Nicolás Rojas Romero,Matías Nicolás Rojas Romero,Paraguay,RW,RW,Portland Timbers,Major League Soccer,29,70.0,77.0,74.0,77.0,56.0,63.0,74,74.0,8.25,8,74.0,1
Matías Galarza Fonda,Matías Galarza Fonda,Paraguay,CM,CM,River Plate,Liga Profesional de Fútbol,23,63.0,73.0,70.0,76.0,65.0,58.0,73,71.2,11.5,8,73.0,1
Cecilio Andrés Domínguez Ruiz,Cecilio Andrés Domínguez Ruiz,Paraguay,LM,LM,Cerro Porteño,División Profesional,30,79.0,71.0,69.0,74.0,44.0,70.0,73,70.6,11.5,8,73.0,1
Julio César Enciso Espínola,Julio César Enciso Espínola,Paraguay,CAM,CAM,RC Strasbourg Alsace,Ligue 1,21,74.0,72.0,70.0,78.0,33.0,51.0,73,71.2,10.25,8,73.0,1
Diego Alexander Gómez Amarilla,Diego Alexander Gómez Amarilla,Paraguay,CM,CM,Brighton & Hove Albion,Premier League,22,69.0,67.0,71.0,75.0,72.0,75.0,73,71.80000000000001,6.75,8,73.0,1
Gonzalo Agustín Sández,Gonzalo Agustín Sández,Paraguay,LB,LB,Rosario Central,Liga Profesional de Fútbol,24,81.0,42.0,58.0,63.0,70.0,84.0,73,64.0,8.75,8,73.0,1
Santiago Arzamendia Duarte,Santiago Arzamendia Duarte,Paraguay,LB,LB,Estudiantes de La Plata,Liga Profesional de Fútbol,27,83.0,68.0,67.0,73.0,68.0,75.0,73,69.4,10.25,8,73.0,1
Víctor Gustavo Velázquez Ramos,Víctor Gustavo Velázquez Ramos,Paraguay,CB,CB,Cerro Porteño,División Profesional,34,74.0,31.0,47.0,55.0,72.0,78.0,73,57.400000000000006,7.75,8,73.0,1
Carlos Miguel Coronel,Carlos Miguel Coronel,Paraguay,GK,GK,New York Red Bulls,Major League Soccer,28,45.0,45.0,45.0,45.0,45.0,45.0,72,72.0,71.25,8,72.0,1
Matías David Espinoza Acosta,Matías David Espinoza Acosta,Paraguay,LB,LB,Libertad,División Profesional,27,76.0,45.0,64.0,64.0,66.0,70.0,72,67.2,12.5,8,72.0,1
Williams Ismael Riveros Ibáñez,Williams Ismael Riveros Ibáñez,Paraguay,CB,CB,Universitario de Deportes,Liga 1,32,58.0,39.0,50.0,53.0,72.0,77.0,72,58.8,11.25,8,72.0,1
Rodrigo Mario Morínigo Acosta,Rodrigo Mario Morínigo Acosta,Paraguay,GK,GK,Libertad,División Profesional,26,45.0,45.0,45.0,45.0,45.0,45.0,71,71.0,70.5,8,71.0,1
Juan Ángel Espínola González,Juan Ángel Espínola González,Paraguay,GK,GK,Newell's Old Boys,Liga Profesional de Fútbol,30,45.0,45.0,45.0,45.0,45.0,45.0,71,71.0,71.5,8,71.0,1
Iván Rodrigo Ramírez Segovia,Iván Rodrigo Ramírez Segovia,Paraguay,RB,RB,Libertad,División Profesional,30,71.0,48.0,68.0,68.0,66.0,70.0,71,69.2,11.25,8,71.0,1
Robert Samuel Rojas Chávez,Robert Samuel Rojas Chávez,Paraguay,RB,RB,Libertad,División Profesional,29,80.0,56.0,63.0,65.0,68.0,74.0,71,66.2,11.0,8,71.0,1
José Ignacio Florentín Bobadilla,José Ignacio Florentín Bobadilla,Paraguay,CM,CM,Central Cordoba SdE,Liga Profesional de Fútbol,28,66.0,63.0,65.0,67.0,69.0,78.0,71,67.4,12.25,8,71.0,1
Mathew David Ryan,Mathew David Ryan,Australia,GK,GK,Levante UD,La Liga,33,45.0,45.0,45.0,45.0,45.0,45.0,78,78.0,77.5,30,78.0,1
Jackson Alexander Irvine,Jackson Alexander Irvine,Australia,CM,CM,FC St. Pauli,Bundesliga,32,67.0,68.0,71.0,70.0,72.0,80.0,75,72.6,10.0,8,75.0,1
Cameron Robert Burgess,Cameron Robert Burgess,Australia,CB,CB,Swansea City,Championship,29,48.0,37.0,57.0,54.0,73.0,78.0,73,63.4,11.0,8,73.0,1
Harry James Souttar,Harry James Souttar,Australia,CB,CB,Leicester City,Championship,26,46.0,28.0,51.0,54.0,73.0,75.0,73,59.8,13.0,8,73.0,1
Craig Alexander Goodwin,Craig Alexander Goodwin,Australia,LM,LM,Adelaide United,A-League Men,33,81.0,74.0,72.0,70.0,59.0,73.0,73,72.4,8.5,8,73.0,1
Massimo Corey Luongo,Massimo Corey Luongo,Australia,CDM,CDM,Millwall FC,Championship,32,52.0,65.0,67.0,69.0,70.0,71.0,72,69.0,12.0,8,72.0,1
Riley Patrick McGree,Riley Patrick McGree,Australia,LM,LM,Middlesbrough,Championship,26,78.0,67.0,69.0,73.0,63.0,73.0,72,70.2,10.5,8,72.0,1
Alessandro Circati,Alessandro Circati,Australia,CB,CB,Parma,Serie A,21,59.0,35.0,53.0,49.0,72.0,77.0,71,60.2,10.25,8,71.0,1
Kye Francis Rowles,Kye Francis Rowles,Australia,CB,CB,DC United,Major League Soccer,27,64.0,24.0,46.0,47.0,72.0,76.0,71,56.0,11.0,8,71.0,1
Alexander Ian Grant,Alexander Ian Grant,Australia,CB,CB,Sydney FC,A-League Men,31,53.0,46.0,54.0,56.0,69.0,83.0,71,60.8,9.75,8,71.0,1
Nicolas Petar Milanović,Nicolas Petar Milanović,Australia,LM,LM,Aberdeen,Premiership,23,88.0,67.0,60.0,72.0,36.0,74.0,71,64.4,8.75,8,71.0,1
Cameron Peter Devlin,Cameron Peter Devlin,Australia,CDM,CDM,Hearts,Premiership,27,68.0,53.0,63.0,69.0,69.0,72.0,71,66.2,9.75,8,71.0,1
Martin Callie Boyle,Martin Callie Boyle,Australia,ST,ST,Hibernian,Premiership,32,89.0,72.0,66.0,74.0,42.0,59.0,71,68.0,11.5,8,71.0,1
Paul David Izzo,Paul David Izzo,Australia,GK,GK,Randers FC,Superliga,30,45.0,45.0,45.0,45.0,45.0,45.0,70,70.0,70.25,8,70.0,1
Anthony Charles Carter,Anthony Charles Carter,Australia,ST,ST,Santa Clara,Primeira Liga,30,65.0,68.0,47.0,66.0,26.0,76.0,70,56.2,10.25,8,70.0,1
Brandon Joel Gaetano Borrello,Brandon Joel Gaetano Borrello,Australia,ST,ST,Western Sydney Wanderers,A-League Men,29,73.0,70.0,66.0,71.0,43.0,77.0,70,67.6,11.25,8,70.0,1
Aiden Connor O'Neill,Aiden Connor O'Neill,Australia,CDM,CDM,New York City FC,Major League Soccer,26,76.0,61.0,65.0,68.0,66.0,77.0,70,67.0,11.5,8,70.0,1
Mathew Allan Leckie,Mathew Allan Leckie,Australia,CM,CM,Melbourne City FC,A-League Men,34,79.0,68.0,67.0,74.0,63.0,76.0,70,68.19999999999999,8.5,8,70.0,1
Nicholas D'Agostino,Nicholas D'Agostino,Australia,ST,ST,Viking FK,Eliteserien,27,84.0,67.0,61.0,69.0,44.0,81.0,70,64.6,10.25,8,70.0,1
Jamie MacLaren,Jamie MacLaren,Australia,ST,ST,Mohun Bagan Super Giant,Super League,31,77.0,69.0,60.0,67.0,35.0,69.0,69,63.6,10.75,8,69.0,1
Jordan Jacob Bos,Jordan Jacob Bos,Australia,LB,LB,Feyenoord,Eredivisie,22,87.0,58.0,60.0,68.0,61.0,79.0,69,63.6,5.75,8,69.0,1
Gianni Ryan Stensness,Gianni Ryan Stensness,Australia,CB,CB,Viking FK,Eliteserien,26,67.0,42.0,57.0,60.0,66.0,80.0,69,61.8,8.25,8,69.0,1
Adam Jake Taggart,Adam Jake Taggart,Australia,ST,ST,Perth Glory,A-League Men,32,80.0,68.0,63.0,68.0,38.0,72.0,69,65.4,13.25,8,69.0,1
Kai Clifton Trewin,Kai Clifton Trewin,Australia,CB,CB,Melbourne City FC,A-League Men,24,66.0,43.0,58.0,59.0,69.0,79.0,69,62.4,13.5,8,69.0,1
Joe Anthony Gauci,Joe Anthony Gauci,Australia,GK,GK,Port Vale,League One,24,45.0,45.0,45.0,45.0,45.0,45.0,68,68.0,68.0,8,68.0,1
Fran Karačić,Fran Karačić,Australia,RB,RB,Hajduk Split,Hrvatska nogometna liga,29,80.0,46.0,61.0,65.0,61.0,73.0,68,63.800000000000004,9.75,8,68.0,1
Hakan Çalhanoğlu,Hakan Çalhanoğlu,Turkey,CDM,CDM,Inter,Serie A,31,71.0,81.0,87.0,82.0,81.0,73.0,86,86.6,9.75,74,86.0,1
Orkun Kökçü,Orkun Kökçü,Turkey,CM,CM,Beşiktaş JK,Süper Lig,24,72.0,80.0,84.0,80.0,70.0,79.0,82,83.2,8.25,52,82.0,1
Arda Güler,Arda Güler,Turkey,RM,RM,Real Madrid,La Liga,20,70.0,77.0,83.0,83.0,52.0,50.0,81,82.19999999999999,11.75,8,81.0,1
Barış Alper Yılmaz,Barış Alper Yılmaz,Turkey,LM,LM,Galatasaray SK,Süper Lig,25,93.0,77.0,72.0,79.0,69.0,90.0,80,75.19999999999999,10.75,52,80.0,1
Uğurcan Çakır,Uğurcan Çakır,Turkey,GK,GK,Galatasaray SK,Süper Lig,29,45.0,45.0,45.0,45.0,45.0,45.0,80,80.0,79.0,8,80.0,1
Muhammed Kerem Aktürkoğlu,Muhammed Kerem Aktürkoğlu,Turkey,LW,LW,Fenerbahçe SK,Süper Lig,26,85.0,75.0,74.0,81.0,41.0,58.0,80,76.4,8.75,8,80.0,1
Abdülkerim Bardakcı,Abdülkerim Bardakcı,Turkey,CB,CB,Galatasaray SK,Süper Lig,30,59.0,46.0,70.0,69.0,81.0,85.0,80,74.0,10.5,52,80.0,1
Ferdi Erenay Kadıoğlu,Ferdi Erenay Kadıoğlu,Turkey,RB,RB,Brighton & Hove Albion,Premier League,25,82.0,68.0,74.0,80.0,76.0,67.0,79,76.0,9.75,52,79.0,1
Kenan Yıldız,Kenan Yıldız,Turkey,CAM,CAM,Juventus,Serie A,20,84.0,78.0,74.0,83.0,35.0,66.0,79,76.0,12.5,8,79.0,1
Fehmi Mert Günok,Fehmi Mert Günok,Turkey,GK,GK,Beşiktaş JK,Süper Lig,36,45.0,45.0,45.0,45.0,45.0,45.0,78,78.0,76.75,8,78.0,1
İrfan Can Kahveci,İrfan Can Kahveci,Turkey,RW,RW,Fenerbahçe SK,Süper Lig,29,73.0,77.0,81.0,80.0,58.0,67.0,78,79.80000000000001,13.0,8,78.0,1
Merih Demiral,Merih Demiral,Turkey,CB,CB,Al Ahli SFC,Pro League,27,73.0,39.0,49.0,61.0,79.0,81.0,78,60.6,9.75,8,78.0,1
Yunus Akgün,Yunus Akgün,Turkey,RM,RM,Galatasaray SK,Süper Lig,24,87.0,78.0,74.0,81.0,40.0,61.0,78,75.6,7.25,8,78.0,1
Oğuz Aydın,Oğuz Aydın,Turkey,LW,LW,Fenerbahçe SK,Süper Lig,24,85.0,72.0,71.0,78.0,56.0,67.0,77,73.4,8.5,8,77.0,1
Berke Özer,Berke Özer,Turkey,GK,GK,Lille OSC,Ligue 1,25,45.0,45.0,45.0,45.0,45.0,45.0,77,77.0,76.25,8,77.0,1
Enes Ünal,Enes Ünal,Turkey,ST,ST,AFC Bournemouth,Premier League,28,66.0,79.0,68.0,75.0,40.0,73.0,77,71.6,12.0,30,77.0,1
İsmail Yüksek,İsmail Yüksek,Turkey,CDM,CDM,Fenerbahçe SK,Süper Lig,26,74.0,59.0,70.0,73.0,74.0,78.0,77,72.8,13.75,8,77.0,1
Çağlar Söyüncü,Çağlar Söyüncü,Turkey,CB,CB,Fenerbahçe SK,Süper Lig,29,69.0,47.0,58.0,65.0,77.0,80.0,77,65.6,6.75,8,77.0,1
Cengiz Ünder,Cengiz Ünder,Turkey,RW,RW,Beşiktaş JK,Süper Lig,27,77.0,74.0,76.0,78.0,38.0,56.0,76,76.0,9.75,8,76.0,1
Mehmet Zeki Çelik,Mehmet Zeki Çelik,Turkey,RB,RB,Roma,Serie A,28,72.0,59.0,69.0,73.0,73.0,74.0,76,71.8,11.0,30,76.0,1
Kaan Ayhan,Kaan Ayhan,Turkey,RB,RB,Galatasaray SK,Süper Lig,30,57.0,62.0,77.0,69.0,78.0,77.0,76,76.6,12.5,8,76.0,1
Atakan Karazor,Atakan Karazor,Turkey,CDM,CDM,VfB Stuttgart,Bundesliga,28,45.0,36.0,63.0,68.0,77.0,74.0,76,68.2,9.5,8,76.0,1
Evren Eren Elmalı,Evren Eren Elmalı,Turkey,LB,LB,Galatasaray SK,Süper Lig,24,83.0,52.0,72.0,72.0,69.0,77.0,75,73.19999999999999,8.25,8,75.0,1
Ozan Muhammed Kabak,Ozan Muhammed Kabak,Turkey,CB,CB,TSG 1899 Hoffenheim,Bundesliga,25,60.0,37.0,59.0,66.0,74.0,79.0,75,65.4,8.5,30,75.0,1
Mert Müldür,Mert Müldür,Turkey,RB,RB,Fenerbahçe SK,Süper Lig,26,76.0,54.0,65.0,73.0,71.0,75.0,74,68.6,6.25,8,74.0,1
Doğuhan Aral Şimşir,Doğuhan Aral Şimşir,Turkey,LW,LW,FC Midtjylland,Superliga,23,80.0,64.0,72.0,75.0,36.0,66.0,73,72.4,10.75,8,73.0,1
Florian Richard Wirtz,Florian Richard Wirtz,Germany,CAM,CAM,Liverpool,Premier League,22,80.0,82.0,88.0,90.0,54.0,67.0,89,88.4,11.0,96,89.0,1
Joshua Walter Kimmich,Joshua Walter Kimmich,Germany,CDM,CDM,FC Bayern München,Bundesliga,30,72.0,74.0,89.0,84.0,83.0,79.0,89,89.0,13.25,74,89.0,1
Jamal Musiala,Jamal Musiala,Germany,CAM,CAM,FC Bayern München,Bundesliga,22,80.0,82.0,80.0,90.0,66.0,65.0,88,83.2,8.5,74,88.0,1
Jonathan Glao Tah,Jonathan Glao Tah,Germany,CB,CB,FC Bayern München,Bundesliga,29,63.0,38.0,60.0,63.0,87.0,86.0,87,70.80000000000001,10.5,74,87.0,1
Antonio Rüdiger,Antonio Rüdiger,Germany,CB,CB,Real Madrid,La Liga,32,79.0,55.0,72.0,70.0,84.0,86.0,86,77.6,12.25,74,86.0,1
Marc-André ter Stegen,Marc-André ter Stegen,Germany,GK,GK,FC Barcelona,La Liga,33,45.0,45.0,45.0,45.0,45.0,45.0,86,86.0,84.25,74,86.0,1
Nico Cedric Schlotterbeck,Nico Cedric Schlotterbeck,Germany,CB,CB,Borussia Dortmund,Bundesliga,25,74.0,60.0,75.0,73.0,85.0,82.0,85,79.0,11.25,52,85.0,1
Manuel Peter Neuer,Manuel Peter Neuer,Germany,GK,GK,FC Bayern München,Bundesliga,39,45.0,45.0,45.0,45.0,45.0,45.0,84,84.0,82.25,52,84.0,1
İlkay Gündoğan,İlkay Gündoğan,Germany,CM,CM,Galatasaray SK,Süper Lig,34,54.0,79.0,83.0,80.0,74.0,67.0,83,83.0,10.75,52,83.0,1
Oliver Baumann,Oliver Baumann,Germany,GK,GK,TSG 1899 Hoffenheim,Bundesliga,35,45.0,45.0,45.0,45.0,45.0,45.0,83,83.0,81.75,52,83.0,1
Angelo Stiller,Angelo Stiller,Germany,CDM,CDM,VfB Stuttgart,Bundesliga,24,56.0,58.0,83.0,84.0,76.0,71.0,83,83.0,9.75,52,83.0,1
Julian Brandt,Julian Brandt,Germany,CAM,CAM,Borussia Dortmund,Bundesliga,29,74.0,78.0,83.0,84.0,44.0,70.0,83,83.0,11.0,52,83.0,1
Robin Leon Koch,Robin Leon Koch,Germany,CB,CB,Eintracht Frankfurt,Bundesliga,28,66.0,44.0,63.0,66.0,83.0,81.0,82,70.6,7.25,52,82.0,1
Matthias Lukas Ginter,Matthias Lukas Ginter,Germany,CB,CB,SC Freiburg,Bundesliga,31,55.0,58.0,71.0,66.0,85.0,75.0,82,75.4,10.0,52,82.0,1
Emre Can,Emre Can,Germany,CB,CB,Borussia Dortmund,Bundesliga,31,77.0,76.0,72.0,74.0,82.0,84.0,82,76.0,11.5,52,82.0,1
David Raum,David Raum,Germany,LB,LB,RB Leipzig,Bundesliga,27,86.0,61.0,80.0,79.0,74.0,78.0,82,80.80000000000001,9.25,52,82.0,1
Waldemar Anton-,Waldemar Anton-,Germany,CB,CB,Borussia Dortmund,Bundesliga,28,69.0,47.0,67.0,66.0,84.0,84.0,82,73.0,12.25,52,82.0,1
Maximilian Mittelstädt,Maximilian Mittelstädt,Germany,LB,LB,VfB Stuttgart,Bundesliga,28,81.0,62.0,77.0,77.0,78.0,74.0,82,79.0,12.25,52,82.0,1
Leroy Aziz Sané,Leroy Aziz Sané,Germany,RM,RM,Galatasaray SK,Süper Lig,29,87.0,81.0,78.0,85.0,37.0,68.0,82,79.6,10.75,52,82.0,1
Mario Götze,Mario Götze,Germany,CM,CM,Eintracht Frankfurt,Bundesliga,33,60.0,75.0,85.0,85.0,56.0,67.0,82,83.80000000000001,9.25,52,82.0,1
Jonathan Michael Burkardt,Jonathan Michael Burkardt,Germany,ST,ST,Eintracht Frankfurt,Bundesliga,24,83.0,82.0,67.0,81.0,44.0,76.0,82,73.0,10.75,52,82.0,1
Kai Lukas Havertz,Kai Lukas Havertz,Germany,ST,ST,Arsenal,Premier League,26,72.0,79.0,78.0,81.0,48.0,74.0,82,79.6,9.0,52,82.0,1
Tim Kleindienst,Tim Kleindienst,Germany,ST,ST,Borussia Mönchengladbach,Bundesliga,29,67.0,82.0,62.0,70.0,45.0,88.0,81,69.6,9.0,52,81.0,1
Deniz Undav,Deniz Undav,Germany,ST,ST,VfB Stuttgart,Bundesliga,28,66.0,82.0,74.0,80.0,33.0,77.0,80,76.4,11.25,52,80.0,1
Nick Woltemade,Nick Woltemade,Germany,ST,ST,Newcastle United,Premier League,23,67.0,78.0,65.0,79.0,41.0,74.0,79,70.6,9.0,8,79.0,1
Niclas Füllkrug,Niclas Füllkrug,Germany,ST,ST,West Ham United,Premier League,32,57.0,82.0,71.0,73.0,43.0,77.0,79,74.2,11.5,52,79.0,1
Tahith Jose Chong,Tahith Jose Chong,Curacao,CAM,CAM,Sheffield United,Championship,25,77.0,66.0,70.0,73.0,54.0,63.0,71,70.4,9.75,8,71.0,1
Juninho Gracielo Bacuna,Juninho Gracielo Bacuna,Curacao,CDM,CDM,Gaziantep FK,Süper Lig,27,73.0,68.0,69.0,72.0,63.0,76.0,69,69.0,10.25,8,69.0,1
Daijiro Florencio Chirino,Daijiro Florencio Chirino,Curacao,CB,CB,UD Almería,La Liga 2,23,78.0,39.0,61.0,64.0,69.0,73.0,69,64.2,8.5,8,69.0,1
Shurandy Ruggerio Sambo,Shurandy Ruggerio Sambo,Curacao,RB,RB,Sparta Rotterdam,Eredivisie,23,78.0,45.0,59.0,67.0,63.0,72.0,68,62.6,9.0,8,68.0,1
Brandley Mack-Olien Kuwas,Brandley Mack-Olien Kuwas,Curacao,LM,LM,FC Volendam,Eredivisie,32,71.0,69.0,65.0,70.0,33.0,62.0,67,65.8,11.0,8,67.0,1
Xander David Severina,Xander David Severina,Curacao,LW,LW,Casa Pia,Primeira Liga,24,76.0,63.0,60.0,66.0,30.0,45.0,67,62.8,13.5,8,67.0,1
Sherel Constancio Floranus,Sherel Constancio Floranus,Curacao,RB,RB,PEC Zwolle,Eredivisie,26,82.0,42.0,55.0,67.0,62.0,73.0,66,59.400000000000006,9.0,8,66.0,1
Tyrese Noslin,Tyrese Noslin,Curacao,RM,RM,Telstar,Eredivisie,22,81.0,54.0,59.0,65.0,59.0,67.0,66,61.8,8.5,8,66.0,1
Tyrique Mercera,Tyrique Mercera,Curacao,RB,RB,FC Groningen,Eredivisie,21,72.0,44.0,55.0,61.0,59.0,62.0,64,58.6,9.5,8,64.0,1
Martha Ar'jany Jainel,Martha Ar'jany Jainel,Curacao,LB,LB,Rotherham United,League One,21,82.0,49.0,60.0,67.0,56.0,54.0,64,61.6,10.5,8,64.0,1
Livano Comenencia,Livano Comenencia,Curacao,RB,RB,FC Zürich,Super League,21,74.0,43.0,55.0,61.0,57.0,61.0,62,57.8,8.5,8,62.0,1
Tyrick Bodak,Tyrick Bodak,Curacao,GK,GK,Telstar,Eredivisie,23,45.0,45.0,45.0,45.0,45.0,45.0,60,60.0,59.0,8,60.0,1
Rayvien Rosario,Rayvien Rosario,Curacao,LM,LM,Excelsior,Eredivisie,21,74.0,53.0,54.0,63.0,31.0,54.0,60,56.4,9.25,8,60.0,1
Isaiah Ahmed,Isaiah Ahmed,Curacao,CDM,CDM,SC Heerenveen,Eredivisie,19,61.0,44.0,52.0,58.0,56.0,61.0,58,54.400000000000006,8.25,8,58.0,1
Giandro Alejandro Sambo,Giandro Alejandro Sambo,Curacao,LW,LW,Heracles Almelo,Eredivisie,18,66.0,48.0,51.0,65.0,33.0,42.0,57,53.4,9.25,8,57.0,1
Obite Evan Ndicka,Obite Evan Ndicka,Ivory Coast,CB,CB,Roma,Serie A,25,74.0,53.0,69.0,69.0,81.0,82.0,81,73.8,9.25,52,81.0,1
Wilfried Stephane Singo,Wilfried Stephane Singo,Ivory Coast,CB,CB,Galatasaray SK,Süper Lig,24,80.0,59.0,70.0,73.0,79.0,84.0,80,74.0,9.25,8,80.0,1
Ousmane Diomande,Ousmane Diomande,Ivory Coast,CB,CB,Sporting CP,Primeira Liga,21,80.0,26.0,51.0,70.0,79.0,86.0,80,62.599999999999994,6.5,52,80.0,1
Odilon Kossounou Kouakou,Odilon Kossounou Kouakou,Ivory Coast,CB,CB,Atalanta,Serie A,24,80.0,32.0,64.0,67.0,81.0,78.0,80,70.4,7.25,52,80.0,1
Franck Yannick Kessié,Franck Yannick Kessié,Ivory Coast,CDM,CDM,Al Ahli SFC,Pro League,28,78.0,77.0,73.0,78.0,78.0,86.0,80,75.8,10.5,52,80.0,1
Nicolas Pépé,Nicolas Pépé,Ivory Coast,RM,RM,Villarreal CF,La Liga,30,88.0,77.0,76.0,82.0,36.0,67.0,80,77.6,9.75,30,80.0,1
